"","address","zip","year_built","BEPS_score","meets_beps","latitude","longitude","owner","property_name"
"1","1901 INDEPENDENCE AVE SE",20003,2017,"156.4","No",38.90859969,-77.03355614,"DISTRICT OF COLUMBIA","DC Jail/Central Detention Facility/Correctional Treatment Facility"
"2","2400 EAST CAPITOL STREET SE",20003,1960,"Under Review","Under Review",38.94687553,-77.06462202,"DISTRICT OF COLUMBIA",""
"3","3030 K STREET NW",20007,1986,"0","Yes",38.87785278,-77.01107229,"WASHINGTON HARBOUR CONDO","270310 - Washington Harbour"
"4","1015 33RD STREET NW",20007,1985,"71","No",38.85279775,-76.96402572,"THE FLOUR MILL CONDO","1000 Potomac St. Washington DC"
"5","1015 33RD STREET NW",20007,1985,"66","No",38.93047551,-77.0371469,"THE FLOUR MILL CONDO","Flour Mill"
"6","1001 PAPER MILL COURT NW",20007,1900,"Under Review","Under Review",38.90546028,-77.0482268,"THE PAPER MILL CONDO",""
"7","1010 - 1014 WISCONSIN AV NW",20007,1985,"71","No",38.87957276,-77.00941306,"WATERFRONT CENTER LP","Waterfront"
"8","1055 29TH ST NW",20007,1948,"Under Review","Under Review",38.8771093,-77.01937554,"GEORGETOWN 29K ACQUISITION LLC",""
"9","3000 M ST NW",20007,1981,"Under Review","Under Review",38.92888455,-77.05536915,"THOR 300 M STREET LLC",""
"10","1054 31ST STREET NW",20007,1969,"71","No",38.9033991,-77.02848543,"R B ASSOCIATES INC","Canal Square"
"11","1251 BANKS ALLEY NW",20007,1991,"Under Review","Under Review",38.88361321,-77.015534,"3307 M STREET LLC","Jamestown - 3307 M Street"
"12","2101 WISCONSIN AVENUE NW",20007,1976,"Under Review","Under Review",38.93107711,-77.03164829,"JOSHUA E J HOLLAND",""
"13","2201 WISCONSIN AVENUE NW",20007,1981,"0","Yes",38.90402879,-77.04925604,"SUSAN KAHN","2201 Wisconsin Ave"
"14","2121 WISCONSIN AVENUE NW",20007,1961,"71","Yes",38.87720678,-77.00554142,"JBG 2121 WISCONSIN LLC","2121 Wisconsin Ave"
"15","2115 WISCONSIN AVENUE NW",20007,1987,"71","Yes",38.91050472,-77.03249306,"JBG 2115 WISCONSIN LLC","2115 Wisconsin, L.L.C."
"16","3900 TUNLAW ROAD NW",NA,1959,"Under Review","Under Review",38.89237499,-76.99543645,"3900 TUNLAW COOPERATIVE C/O JOHN HANCOCKREAL ESTATE",""
"17","5275 LOUGHBORO ROAD NW",20016,2011,"426.9","Yes",38.94923739,-77.06589129,"LUCY WEBB HAYES NATIONAL TRAINING SCHOOL SIBLEY MEMORIAL HOSPITAL","New Sibley Patient Tower"
"18","4200 MASSACHUSETTS AVENUE NW",20016,1971,"66","No",38.90056549,-76.98433419,"FOX HALL EAST CONDO","Fox Hall East Condominiums"
"19","3201 SUTTON PLACE NW",20016,1980,"Under Review","Under Review",38.89999597,-77.0012645,"SUTTON PLACE CONDOMINIUM",""
"20","5010 WISCONSIN AVENUE NW",NA,1962,"Under Review","Under Review",38.90350786,-77.04448221,"TAIPEI ECONOMIC AND CULTURAL REPRESENTATIVEOFFICE IN THE UNITED STAT",""
"21","5333 WISCONSIN AVENUE NW",20015,1998,"228.8","No",38.83117372,-76.99330625,"STREET RETAIL INC","Friendship Center"
"22","4200 DAVENPORT ST NW",20037,1986,"Under Review","Under Review",38.93385565,-77.0726989,"GEORGETOWN DAY SCHOOL INC",""
"23","4200 CATHEDRAL AVE NW",20016,1957,"66","No",38.91959136,-77.03168318,"4200 CATHEDRAL CONDO","4200 Cathedral Ave Condo"
"24","4000 VAN NESS STREET NW",NA,1964,"Under Review","Under Review",38.90588464,-77.04916591,"POTOMAC ELECTRIC POWER COMPANY",""
"25","4001 YUMA STREET NW",NA,1947,"Under Review","Under Review",38.90201112,-77.06033829,"SAINT JOHN SOCIETY",""
"26","4545 42ND STREET NW",NA,1976,"Under Review","Under Review",38.88303794,-76.94759915,"MOLYBDENUM LLC",""
"27","4500 WISCONSIN AVENUE NW",20016,2005,"225.3","No",38.89689559,-77.01338917,"CITYLINE AT TENLEY RES CONDO","Cityline at Tenley Center"
"28","4620 WISCONSIN AVE NW",20016,1988,"Under Review","Under Review",38.90687542,-77.00368244,"WISCONSIN OWNER LLC",""
"29","DONALDSON PL NW",20019,NA,"229.4","Yes",38.89933255,-77.02353491,"DISTRICT OF COLUMBIA","Fort Reno"
"30","4530 40TH STREET NW",NA,1995,"Under Review","Under Review",38.92207192,-77.03687487,"PEDAS TENLEY LLC",""
"31","3620 16TH STREET NW",20010,1930,"66","Yes",38.93171679,-77.07317431,"VAN METRE OAKLAWN TERRACE APARTMENTS L L C","SQ 369 Residents - Lurgan"
"32","4228 WISCONSIN AVENUE NW",20016,1967,"0","Yes",38.89990115,-77.00744488,"TAMOL LP","PSYCHIATRIC INSTITUTE OF WASHINGTON"
"33","4100 WISCONSIN AVE NW",20016,1990,"Under Review","Under Review",38.90276579,-76.9965913,"G ECKLES",""
"34","4000 MASSACHUSETTS AVENUE NW",20016,1957,"66","Yes",38.91514111,-77.02262794,"EDWARD H KAPLAN","4000 Mass"
"35","2801 NEW MEXICO AVENUE NW",20007,1966,"66","No",38.85564477,-76.97223348,"THE COLONNADE CONDOMINIUM","The Colonnade Condominium"
"36","3125 39TH STREET NW",NA,NA,"Under Review","Under Review",38.96382609,-77.01073311,"ROMAN CATHOLIC ARCHBISHOP OF WASHINGTON",""
"37","3611 38TH STREET NW",20016,1985,"Under Review","Under Review",38.90789452,-77.04292132,"THE VILLAGE AT MCLEAN GARDENS",""
"38","3900 WISCONSIN AVENUE NW",NA,1958,"Under Review","Under Review",38.90390824,-77.06687697,"NASH-ROADSIDE 3900 WISCONSIN LLC",""
"39","4201 WISCONSIN AVENUE NW",NA,1986,"Under Review","Under Review",38.897948,-77.02095694,"TAIPEI ECONOMIC CULTURAL REP OFFICE",""
"40","5415 CONNECTICUT AVENUE NW",20015,1950,"66","Yes",38.90412553,-76.98850305,"WRIT KENMORE LLC","The Kenmore"
"41","3010 WISCONSIN AVENUE NW",20016,1930,"Under Review","Under Review",38.89758982,-76.99314266,"THE CATHEDRAL COURT CONDO",""
"42","2828 WISCONSIN AVENUE NW",20007,1977,"66","Yes",38.90702474,-77.03070973,"THE WORLAND CONDOMINIUM","The Worland Condomminium"
"43","2800 WISCONSIN AVENUE NW",20007,1964,"Under Review","Under Review",38.87667902,-77.00035769,"2800 WISCONSIN AVE CONDOMINIUM",""
"44","3101 WISCONSIN AVE NW",20016,1959,"140.3","No",38.87880202,-76.99919866,"PROTESTANT EPISCOPAL CATHEDRAL FND DC","Washington National Cathedral"
"45","3001 WISCONSIN AVENUE NW",NA,1854,"Under Review","Under Review",38.9499798,-77.08084631,"SAINT ALBANS CHURCH VESTRY",""
"46","4200 CONNECTICUT AVE NW",20008,1968,"180.6","No",38.92950846,-77.08021719,"UNIVERSITY OF THE DISTRICT OF COLUMBIA","UDC"
"47","1000 F ST NW",NA,2018,"Under Review","Under Review",38.93011644,-77.07766803,"JAMEL STERLING LP",""
"48","4340 CONNECTICUT AVENUE NW",20008,1975,"Under Review","Under Review",38.93438891,-77.02138241,"DISTRICT OF COLUMBIA",""
"49","4514 CONNECTICUT AVENUE NW",20008,1928,"66","Yes",38.93643979,-77.02663629,"PONCE DE LEON COOPERATIVE INC","PONCE DE LEON COOPERATIVE INC"
"50","5111 CONNECTICUT AVENUE NW",20015,2003,"50","No",38.92454498,-77.03750869,"SUNRISE CONNECTICUT AVENUE ASSISTED LIVING LLC","63110-Sunrise on Connecticut Avenue"
"51","4901 CONNECTICUT AVENUE NW",20008,1927,"50","No",38.874995,-77.00619075,"METHODIST HOME OF D C INC","The Methodist Home of DC and Forest Side Assisted Living"
"52","4309 CONNECTICUT AVENUE NW",20008,1930,"0","Yes",38.89708617,-77.0195284,"VAN NESS CENTER ASSOCITES LLC","Van Ness Center"
"53","4309 CONNECTICUT AVENUE NW",20008,1930,"64","No",38.92119658,-77.08845145,"VAN NESS CENTER ASSOCITES LLC","0383 Washington"
"54","3400 INTERNATIONAL DR NW",20008,1985,"153.7","Yes",38.91300821,-77.02217678,"SL 4000 CONNECTICUT LLC","3400 International Dr"
"55","2401 CALVERT STREET NW",20008,1964,"66","No",38.90687775,-77.03416385,"CALVERT HOUSE ASSOCIATES LLC","The Calvert House"
"56","2700 CALVERT STREET NW",20008,1965,"66","No",38.93693706,-77.10749579,"SHOREHAM WEST COOPERATIVE APARTMENTS INC","Shoreham West Cooperative Apts Inc"
"57","2635 CONNECTICUT AVENUE NW",NA,1989,"Under Review","Under Review",38.90753381,-77.0412724,"MDP 2631 CT AVE LLC",""
"58","2730 ORDWAY STREET NW",20008,1944,"Under Review","Under Review",38.88713779,-76.94630527,"ORDWAY GARDENS",""
"59","3505 CONNECTICUT AVENUE NW",20037,NA,"228.8","No",38.8985381,-77.00256875,"STREET RETAIL INC","Sam's Park & Shop"
"60","3701 CONNECTICUT AVE NW",20008,1951,"Under Review","Under Review",38.91674325,-77.037638,"3701 CONNECTICUT AVE CONDO",""
"61","4007 CONNECTICUT AVE NW",20008,1930,"Under Review","Under Review",38.89942177,-77.03407923,"TILDEN COURT CONDOMINIUM",""
"62","4103 CONNECTICUT AVENUE NW",20008,2006,"Under Review","Under Review",38.90183585,-77.02369057,"EDMUND BURKE SCHOOL INC",""
"63","5121 BRD BRANCH RD NW",20008,1927,"Under Review","Under Review",38.9400534,-77.02381284,"THE INGLESIDE PRESBYTERIAN RETIREMENT COMM",""
"64","2231 CALIFORNIA STREET NW",20008,1943,"66","Yes",38.87139792,-76.97839374,"WILLIAM PENNSYLVANIA LTD","The William Penn Apartments"
"65","1801 KALORAMA SQUARE NW",20008,1976,"Under Review","Under Review",38.90999538,-77.0479595,"KALORAMA SQUARE",""
"66","2144 CALIFORNIA STREET NW",NA,1959,"Under Review","Under Review",38.90815185,-77.01770527,"PACOLET KALORAMA LLC",""
"67","1914 CONNECTICUT AVENUE NW",20009,1903,"54","Yes",38.93383752,-77.07835753,"H H CHURCHILL HOTEL ASSOCIATES LP","Churchill WCH DC"
"68","1825 CONNECTICUT AV NW",20009,1959,"71","Yes",38.82390177,-77.00321328,"UNIVERSAL BUILDING INC","1825 Connecticut Avenue"
"69","2311 CONNECTICUT AVENUE NW",20008,1911,"66","Yes",38.90747019,-77.03049513,"THE WOODLAND CONDOMINIUM","The Woodward"
"70","1884 COLUMBIA ROAD NW",20009,1965,"66","Yes",38.90539166,-77.03503012,"ADAMS-MORGAN ASSOCIATES","The Promenade"
"71","2200 CHAMPLAIN ST NW",20009,1926,"192","Yes",38.91022669,-77.03878178,"DISTRICT OF COLUMBIA","Marie Reed Community Learning, Recreation/Aquatic Center, and Elementary School"
"72","2301 CHAMPLAIN ST NW",20009,2004,"Under Review","Under Review",38.90897099,-77.02153021,"ADAMS ROW CONDO RESIDENCES",""
"73","1701 KALORAMA ROAD NW",20009,2005,"Under Review","Under Review",38.90399643,-77.06145827,"THE DELANCEY LOFTS",""
"74","1600 BEEKMAN PLACE NW",20009,1977,"Under Review","Under Review",38.87680326,-77.00129982,"BEEKMAN PLACE CONDO",""
"75","1631 EUCLID ST NW",20009,1927,"Under Review","Under Review",38.89942191,-77.02167869,"JUBILEE HOUSING LIMITED PARTNERSHIP",""
"76","1660 LANIER PLACE NW",20009,1940,"66","Yes",38.89716107,-77.03226634,"THE MORRIS AND GWENDOLYN CAFRITZ FOUNDATION","Park Terrace (pr445)"
"77","3146 16TH STREET NW",20010,2017,"66","Yes",38.90141001,-76.94910003,"VALOR 3146 16TH LLC","The Vintage"
"78","3200 16TH STREET NW",20010,1937,"66","No",38.96361756,-77.03383463,"MORRIS AND GWENDOLYN CAFRITZ FOUNDATION","Majestic Apartments"
"79","1604 PARK ROAD NW",NA,1900,"Under Review","Under Review",38.97026972,-77.03116119,"THE HOLY SPRIT ASSOCITION FOR UNIFICATION OF WOLD CHRISTIANITY",""
"80","1621 PARK ROAD NW",NA,NA,"Under Review","Under Review",38.88772037,-76.91684043,"ARCHBISHOP WASHINGTON JAMES HICKEY",""
"81","1712 NEWTON STREET NW",20010,1964,"66","No",38.89786009,-76.94708554,"MT PLEASANT ASSOCIATES LLC","Park Pleasant Apartments"
"82","3510 COMMODORE JOSHUA BARNEY DR NE",NA,NA,"Under Review","Under Review",38.88605332,-76.95207638,"FORT LINCOLN RENTAL LTD",""
"83","2750 14TH ST NW",20009,2006,"Under Review","Under Review",38.93587126,-77.03698501,"THE HEIGHTS OF COLUMBIA CONDO",""
"84","3900 14TH ST NW",20011,1931,"66","Yes",38.8997029,-77.01324202,"RANDOLPH TOWERS CONDO","Randolph Towers Condominium"
"85","1440 ROCK CREEK FORD ROAD NW",20011,1959,"66","No",38.89644574,-77.02433951,"AUBINOE ROCKVIEW LIMITED PARTNERSHP","1440 Rockview Apartments"
"86","1331 FORT STEVENS DRIVE NW",20011,1942,"66","Yes",38.90217517,-77.0324111,"1329-1337 FT STEVENS DR LLC","1329-1337 Ft Stevens"
"87","1360 PEABODY STREET NW",20011,1941,"Under Review","Under Review",38.89249162,-76.94288759,"ROLLING TERRACE LLC",""
"88","1345 PARK ROAD NW",20037,2005,"64","Yes",38.90758292,-76.93713061,"DISTRICT OF COLUMBIA","0378 Washington"
"89","1301 COLUMBIA ROAD NW",NA,1972,"Under Review","Under Review",38.83613274,-76.98423337,"COLUMBIA HGTS VILLAGE APARTMENT LP",""
"90","2905 11TH STREET NW",20001,NA,"110.7","No",38.87734308,-77.01181782,"DISTRICT OF COLUMBIA HOUSING AUTHORITY","2905 11th St"
"91","1312 COLUMBIA ROAD NW",NA,1977,"Under Review","Under Review",38.9296274,-77.03221426,"COLUMBIA HGTS VILLAGE APARTMENT LP",""
"92","2830 11TH STREET NW",20009,NA,"Under Review","Under Review",38.8810437,-77.01568396,"DISTRICT OF COLUMBIA",""
"93","1312 CLIFTON STREET NW",20009,1916,"66","Yes",38.92930856,-77.03298602,"CLIFTON TERRACE L P","Clifton Terrace L P"
"94","919 FLORIDA AVENUE NW",20001,2005,"66","Yes",38.91743295,-76.97997384,"THE FLORIDIAN CONDO","The Floridian"
"95","2146 GEORGIA AVENUE NW",NA,1923,"Under Review","Under Review",38.93768754,-77.00491128,"THE HOWARD UNIVERSITY",""
"96","2112 GEORGIA AVENUE NW",NA,1931,"Under Review","Under Review",38.8965328,-77.03169763,"HOWARD UNIVERSITY  (LAND ONLY)",""
"97","106 IRVING ST R NW",20001,2018,"Under Review","Under Review",38.91184307,-77.02877429,"BARRY PLACE PARTNERS LLC",""
"98","713 LAMONT STREET NW",NA,1920,"Under Review","Under Review",38.82871871,-77.00285531,"CHEVY CHASE HOUSE ASSOCIATES LIMITED PARTNERSHIP",""
"99","735 LAMONT STREET NW",NA,1926,"Under Review","Under Review",38.89537579,-77.01170564,"CHEVY CHASE HOUSE ASSOCIATES LP",""
"100","1125 SPRING ROAD NW",20010,1965,"Under Review","Under Review",38.82670281,-76.99772941,"DISTRICT OF COLUMBIA",""
"101","930 RANDOLPH STREET NW",NA,1936,"Under Review","Under Review",38.87748115,-77.0163221,"PETWORTH STATION LP",""
"102","3910 - 3912 GEORGIA AVE NW",20011,2011,"66","No",38.8970458,-77.02151116,"3910 GEORGIA AVE ASSOCIATES LP 1-A","3 Tree Flats: 3910 Georgia Avenue"
"103","5102 GEORGIA AVE NW",20011,2018,"Under Review","Under Review",38.94149475,-77.07419157,"PARADISE AT GEORGIA AVENUE LLC",""
"104","6008 GEORGIA AVENUE NW",NA,1924,"Under Review","Under Review",38.97060969,-77.03306618,"NATIVITY CATHOLIC CHURCH",""
"105","6100 GEORGIA AVE NW",20011,2018,"Under Review","Under Review",38.92853334,-77.03441088,"EMORY ",""
"106","7144 13TH ST NW",20306,NA,"Under Review","Under Review",38.87887122,-77.0219215,"CHILDREN'S NATIONAL AT WALTER REED LLC",""
"107","7820 GEORGIA AVE NW",20012,1934,"401.2","Yes",38.91952574,-77.00247334,"JEMAL'S GATEWAY DC LLC","Jemal's Gateway DC LLC"
"108","6817 GEORGIA AV NW",20012,1955,"66","No",38.92062031,-77.0707774,"NORMANDIE LLC","Normandie"
"109","5901 9TH STREET NW",20011,NA,"Under Review","Under Review",38.90044253,-77.01830041,"DISTRICT OF COLUMBIA",""
"110","2229 4TH ST NW",20059,1958,"235.8","No",38.92627284,-76.97134532,"THE HOWARD UNIVERSITY INC","Howard University Main Campus"
"111","2201 GEORGIA AVENUE NW",20059,2015,"Under Review","Under Review",38.93427456,-77.07209092,"THE HOWARD UNIVERSITY",""
"112","2035 2ND ST NW",20001,1904,"Under Review","Under Review",38.93225461,-77.03306489,"PARKER FLATS @ GAGE SCHOOL",""
"113","2507 1ST STREET NW",20001,NA,"Under Review","Under Review",38.94346963,-77.07671558,"DISTRICT OF COLUMBIA",""
"114","535 BRUMMEL CT NW",20012,1981,"Under Review","Under Review",38.91062649,-77.02488476,"BRUMMEL MANOR CONDO",""
"115","7035 BLAIR RD NW",20012,2007,"66","No",38.9456562,-77.07995008,"L G TAKOMA PARK LP","Takoma Park-Gables"
"116","510 WEBSTER STREET NW",NA,1924,"Under Review","Under Review",38.93585974,-77.0580162,"ST GABRIELS CATHOLIC CHURCH SCHOOL & RECTORY",""
"117","6500 3RD STREET NW",20012,2004,"206.6","No",38.89668569,-77.0404004,"DISTRICT OF COLUMBIA","Takoma Community and Aquatic Center"
"118","5200 2ND STREET NW",20011,NA,"Under Review","Under Review",38.84170215,-76.98358847,"DISTRICT OF COLUMBIA",""
"119","255 CARROLL STREET NW",20012,2013,"66","No",38.91075356,-77.04443934,"TAKOMA CENTRAL OWNER LLC","Takoma Central"
"120","6918 WILLOW ST NW",20012,2016,"Under Review","Under Review",38.93273537,-77.07213988,"JEMAL'S TP LAND LLC",""
"121","6830 LAUREL STREET NW",NA,1900,"Under Review","Under Review",38.87429773,-77.00077531,"STRAYER UNIVERSITY INC",""
"122","6925 WILLOW ST NW",20012,1956,"71","Yes",38.85825822,-76.99108433,"JEMAL'S TAKOMA PARK L LC","Jemal's Takoma Park, LLC"
"123","6501 - 6527 CHILLUM PL NW",20012,1955,"19","Yes",38.92959673,-76.96657198,"MFS CHILLUM LLC","MFS Chillum LLC"
"124","100 PEABODY STREET NW",20011,1900,"Under Review","Under Review",38.8747077,-77.00158454,"DISTRICT OF COLUMBIA",""
"125","3109 HAWTHORNE DRIVE NE",20017,1981,"Under Review","Under Review",38.94890041,-77.00829375,"PARK PLACE CONDOMINIUM",""
"126","117 FRANKLIN STREET NE",20002,1983,"Under Review","Under Review",38.92159943,-77.03696504,"FRANKLIN COMMONS LTD",""
"127","116 T STREET NE",20002,2010,"66","Yes",38.90149936,-76.92228389,"ST MARTIN'S APARTMENTS LP","St. Martin's Apartments LP"
"128","301 DOUGLAS STREET NE",20002,1970,"Under Review","Under Review",38.89583765,-76.9303599,"DISTRICT OF COLUMBIA",""
"129","2601 VIRGINIA AVE NW",20037,1962,"Under Review","Under Review",38.9000091,-77.03403133,"DC BOATHOUSE LLC",""
"130","2600 VIRGINIA AV NW",20037,1967,"71","Yes",38.8806966,-76.99239423,"2600 VIRGINIA AVENUE 1 LLC","Watergate Office Building"
"131","2501 M STREET NW",20037,1997,"66","No",38.90283598,-77.04458463,"THE WESTGATE CONDOMINIUM","Westgate Condominiums"
"132","2550 M STREET NW",20037,1978,"71","Yes",38.89990451,-77.04136736,"GEORGETOWN INCOME PARTNERS LLC","Squire Patton Boggs"
"133","1229 25TH STREET NW",20037,2009,"66","No",38.88565097,-76.98293212,"RH 1229-1231 25TH STREET LLC","West End 25 Apartments"
"134","2440 M ST NW",20037,2005,"Under Review","Under Review",38.90509807,-77.03157046,"ATLAS CONDOMINIUM",""
"135","1104 24TH ST NW",20037,2006,"Under Review","Under Review",38.86546056,-76.9902833,"THE COLUMBIA RESIDENCES CONDO",""
"136","2301 CONSTITUTION AVE NW",20037,2010,"Under Review","Under Review",38.90508078,-77.00824657,"UNITED STATES OF AMERICA",""
"137","2301 N STREET NW",20037,1991,"66","No",38.92423315,-77.03277621,"EMERSON HOUSE CONDOMINIUM","Emerson House"
"138","2300 N ST NW",20037,1986,"71","No",38.92728439,-77.05326194,"TR 2300 N STREET CORP","2300 N Street"
"139","2300 - 2330 M ST NW",20037,1983,"71","No",38.90343437,-77.03047012,"MEDICAL FACULTY ASSOCIATES INC","2300-2330 M ST"
"140","1222 22ND STREET NW",NA,1922,"Under Review","Under Review",38.90338537,-77.03168488,"COLUMBIA REALTY VENTURE",""
"141","1 WASHINGTON CIRCLE NW",20037,1964,"54","No",38.94179079,-77.06440231,"THE GEORGE WASHINGTON UNIVERSITY","One Washington Circle"
"142","2200 PENNSYLVANIA AVENUE NW",20052,2011,"71","Yes",38.90585188,-77.00846364,"GEORGE WASHINGTON UNIVERSITY","2200 Pennsylvania Avenue"
"143","525 23RD STREET NW",NA,1965,"Under Review","Under Review",38.91411079,-76.99870928,"PAN AMERICAN HEALTH ORGANIZATION",""
"144","2115 M STREET NW",20037,1980,"71","No",38.96290363,-77.07395944,"NEW HAMPSHIRE AVENUE OWNER LLC","1200 New Hampshire"
"145","1260 21ST STREET NW",20036,1966,"66","No",38.91922909,-77.01740567,"THE NEWPORT CONDOMINIUM","The Newport Condominium"
"146","2175 K ST NW",20037,1981,"Under Review","Under Review",38.90162887,-77.04060195,"THE DELEGATION OF THE EUROPEAN UNION TO THE UNITED STATES OF AMERICA",""
"147","2100 K STREET NW",20427,2018,"Under Review","Under Review",38.90404733,-77.04529672,"INTERNATIONAL FINANCE CORPORATION",""
"148","2136 PENNSYLVANIA AVENUE NW",20037,2018,"Under Review","Under Review",38.93101964,-77.03704558,"THE GEORGE WASHINGTON UNIVERSITY",""
"149","2100  PENNSYLVANIA AVE NW",20037,1966,"Under Review","Under Review",38.8797968,-76.98764445,"THE GEORGE WASHINGTON UNIVERSITY",""
"150","2100 PENNSYLVANIA AVE NW",20037,1966,"Under Review","Under Review",38.92025875,-77.04802106,"GEORGE WASHINGTON UNIVERSITY",""
"151","2001 K STREET NW",20036,2017,"71","No",38.90112553,-77.03805135,"2000 L OWNER LLC","2000 L"
"152","2001 K ST NW",20006,2018,"Under Review","Under Review",38.89755759,-76.9463489,"2001 K LLC",""
"153","2110 G STREET NW",NA,1880,"Under Review","Under Review",38.90219655,-77.03293439,"GEORGE WASHINGTON UNIVERSITY",""
"154","2121 VIRGINIA AVE NW",20037,1986,"Under Review","Under Review",38.92347243,-77.03804436,"PAN AMERICAN HEALTH ORGANIZATION",""
"155","1990 K ST NW",20006,1978,"71","No",38.94925747,-77.08175422,"CONSORTIUM TWO 1990 K ST LLC","1990 K Street-SV"
"156","1720 CONNECTICUT AVENUE NW",NA,1982,"Under Review","Under Review",38.89868447,-76.9968224,"BROMINE LLC",""
"157","1400 20TH STREET NW",20036,1963,"66","Yes",38.90597596,-77.03497069,"BRISTOL ASSOCIATES","Bristol House"
"158","2021 L STREET NW",20036,1969,"71","Yes",38.87535961,-77.00274251,"ASH 2021 L LLC","American Society of Hematology Building"
"159","1133 21ST STREET NW",20036,1987,"71","Yes",38.90523023,-77.04530923,"LCPC LAFAYETTE PROPERTY LLC","Lafayette Centre"
"160","1817 H STREET NW",20006,2006,"71","Yes",38.92599944,-76.9953523,"CTTWB ASSOCIATES LP","CTTWB"
"161","1601 CONNECTICUT AVENUE NW",20009,1971,"71","Yes",38.9086005,-77.03428285,"MICHAEL KAIN","The Caravel"
"162","1528 CONNECTICUT AVENUE NW",20036,1923,"229.4","Yes",38.90278405,-77.02546906,"DUPONT CIRCLE METRO LLC","Dupont Circle Metro, LLC"
"163","1330 19TH STREET NW",20036,1978,"Under Review","Under Review",38.88401284,-76.95458353,"TMG 1333 NEW HAMPSHIRE AVE LLC",""
"164","1146 19TH STREET NW",20036,1986,"71","No",38.98469003,-77.03397483,"1146 19TH LLC","1146 19th Street"
"165","1195 20TH STREET NW",20036,1971,"71","No",38.92696861,-77.00125046,"MEITNERIUM ALPHA LLC","Meitnerium Alpha, LLC"
"166","1901 L STREET NW",20036,1978,"Under Review","Under Review",38.899511,-77.02442759,"TMG 1901 L STREET LLC",""
"167","1901 PENNSYLVANIA AVE NW",20006,1960,"71","Yes",38.93259739,-77.02560911,"WASHREIT 1901 PENNSYLVANIA AVE TRUSTEE LLC","1901 Pennsylvania Ave (py21)"
"168","1722 I ST NW",20006,1981,"71","No",38.88241979,-76.95468527,"1722 EYE STREET ASSOCIATES LIMITED PARTNERSHIP","1722 Eye Street"
"169","1301 CONNECTICUT AVENUE NW",20036,1917,"71","No",38.91443678,-76.98413097,"1301 CT ONE LLC","1301 Connecticut Ave"
"170","1889 F STREET NW",NA,1979,"Under Review","Under Review",38.83591781,-77.00005457,"ORGANIZATION OF AMERICAN STATES (OAS)",""
"171","1801 CONSTITUTION AV NW",20037,1948,"Under Review","Under Review",38.9197831,-76.99287484,"UNITED STATES OF AMERICA",""
"172","1830 17TH STREET NW",20009,1901,"66","No",38.902794,-77.00547863,"THE ALBERMARLE CONDOMINIUM","The Concord Condominium"
"173","1122 CONNECTICUT AVENUE NW",20036,1984,"71","No",38.90899927,-77.04515044,"PENZANCE 1130 PROPERTY OWNER LLC","1130 Connecticut Avenue DDOE"
"174","1020 CONNECTICUT AVENUE NW",20036,1981,"71","No",38.91862622,-76.99916373,"MARIA C TRIPOLI","Washington Square"
"175","700 17TH STREET NW",20006,1962,"71","Yes",38.90403341,-77.04831761,"ATLANTIC FREEHOLDS","1701 Pennsylvania Ave."
"176","1754 H STREET NW",20006,2002,"71","No",38.90746695,-77.04397877,"FP CPT 1750 H STREET LLC","1750 H Street NW"
"177","1750 PENNSYLVANIA AVENUE NW",20006,1963,"71","Yes",38.91582368,-77.04926997,"JOHN HANCOCK LIFE INSURANCE COMPANY (U.S.A.)","1750 Pennsylvania Ave"
"178","1709 NEW YORK AVENUE NW",NA,1971,"Under Review","Under Review",38.92271208,-77.02258537,"BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM",""
"179","1776 F STREET NW",NA,1972,"Under Review","Under Review",38.90496257,-77.04388327,"FEDERAL DEPOSIT INSRUANCE CORPORATION",""
"180","550 17TH STREET NW",NA,1962,"Under Review","Under Review",38.88294394,-77.01443133,"FEDERAL DEPOSIT INSURANCE CORPORATION",""
"181","201 18TH STREET NW",20006,1909,"153.7","No",38.91770605,-76.97676363,"ORGANIZATION OF AMERICAN STATES (OAS)","Organization of American States"
"182","1619 MASSACHUSETTS AVENUE NW",20036,1961,"71","Yes",38.89867715,-76.99237641,"JOHNS HOPKINS UNIVERSITY","Benjamin T. Rome"
"183","1625 M STREET NW",20036,1985,"71","Yes",38.90851258,-77.03804307,"17M ASSOCIATES","Sumner Square"
"184","1600 RHODE ISLAND AVENUE NW",20036,1956,"54","No",38.89911931,-76.9334476,"MILLBANK PARTNERS MASS AVE LIMITED PARTNERSHIP","Courtyard Marriott-SV"
"185","1145 17TH STREET NW",20036,1983,"71","No",38.92898278,-77.05431754,"NATIONAL GEOGRAPHIC SOCIETY","NGS Headquarters"
"186","1615 H ST NW",20062,1924,"71","No",38.95978861,-76.99956374,"CHAMBER OF COMMERCE OF THE USA","US Chamber of Commerce"
"187","1622 I STREET NW",20006,1964,"71","Yes",38.91033744,-77.05332711,"PONTE GADEA WASHINGTON LLC","Chanin Building - 815 Connecticut"
"188","1500 MASSACHUSETTS AVENUE NW",20005,1952,"66","Yes",38.8993484,-77.02649003,"EQR-1500 MASS LLC","1500 Mass Ave. - 27209"
"189","1501 M STREET NW",20005,1991,"71","Yes",38.91296425,-76.98203129,"I&G DC REIT INC","1501 M Street"
"190","1555 L STREET NW",NA,1970,"Under Review","Under Review",38.87676024,-77.00534259,"16TH STREET INVESTORS LLC",""
