"","address","zip","year_built","BEPS_score","meets_beps","latitude","longitude","owner","property_name"
"697","2125 14TH ST NW",20009,2007,"66","No",38.95290454,-77.07520138,"THE WAREHOUSE @ UNION ROW","The Warehouses at Union Row, A Condominium"
"698","1301 U STREET NW",20009,2004,"66","Yes",38.91237495,-77.00839027,"JAMESTOWN 1301 U LP","The Ellington"
"699","1390 V STREET NW",20009,2005,"66","No",38.91508538,-76.97364234,"LANGSTON HUGHES CONDO","Langston Hughes Condominium"
"700","1905 14TH STREET NW",20009,2014,"66","No",38.90532195,-77.04131343,"PATRICIA H LIN TRUSTEE","The Harper"
"701","1316 U STREET NW",20009,2017,"66","Yes",38.90345499,-77.03239301,"ABC FOURTEENTH STREET ASSOCIATES LP","13th & U"
"702","1921-1925 14TH ST NW",20009,2000,"66","Yes",38.9282976,-77.00678805,"SNELL ELYSIUM LLC","Bell Elysium 14"
"703","1325 S STREET NW",20009,NA,"229.4","Yes",38.94279226,-77.05961864,"DISTRICT OF COLUMBIA","DPR Supportive Services and Transportation"
"704","1333 N STREET NW",20005,1880,"66","No",38.97376656,-77.01344388,"N STREET VILLAGE INC","N STREET VILLAGE LTD PTR"
"705","1301 VERMONT AVENUE NW",20005,1937,"66","Yes",38.93107711,-77.03164829,"1301 VERMONT LLC","The Eddystone Apartments (dd033)"
"706","1300 13TH STREET NW",20005,2002,"66","Yes",38.96501659,-77.01173219,"SOLO PIAZZA CONDOMINIUM","Solo Piazza Condominium"
"707","1230 13TH STREET NW",20005,1964,"66","Yes",38.89706293,-77.0301558,"1230 LLC","Sutton Plaza"
"708","1220 13TH STREET NW",20005,2008,"66","Yes",38.85699384,-76.99548123,"UDR/K VENTURE MEMBER LLC","1301 Thomas Circle"
"709","10 THOMAS CIRCLE NW",20005,1961,"54","No",38.90327733,-77.04525495,"WASHINGTON PLAZA HOTEL LLC","Washington Plaza Hotel"
"710","1239 VERMONT AVENUE NW",20005,1964,"66","No",38.94687296,-77.03684386,"CRESCENT TOWERS CONDO","Crescent Tower Condo"
"711","1300 N STREET NW",20005,2004,"66","Yes",38.90260667,-76.97066933,"THE RADIUS CONDOMINIUM","Radius Condominium - 1300 N St. NW"
"712","1325 MASSACHUSETTS AVENUE NW",20005,1966,"71","Yes",38.87695116,-76.94123219,"NATCA MEMBERSHIP INVESTMENT INC","Krasner Building"
"713","1616 16TH STREET NW",20009,1924,"66","Yes",38.9179145,-77.01500781,"VAN MATRE BARCLAY APARTMENTS LLC","Barclay II"
"714","1700 K ST NW",20037,2005,"71","Yes",38.89533589,-77.00295008,"COMMERCE BUILDING ASSOC & 1730 K ST ASSOC LLC","1700 K St NW"
"715","910 17TH ST NW",20006,1927,"71","Yes",38.90096552,-77.01592398,"BARR BUILDING LLC","Barr Building"
"716","900 17TH ST NW",20006,1962,"71","Yes",38.89770952,-77.03316426,"GNAREI 1 FARRAGUT LLC","The Farragut Building"
"717","1720 I ST NW",20006,1967,"71","Yes",38.92508265,-77.07704753,"ROBERT ARTHUR","Intrepid Eye Street"
"718","801 18TH ST NW",20006,1982,"71","No",38.89948975,-77.04040187,"801 18TH STREET ASSOCIATES","Paralyzed Veterans of America"
"719","1776 I ST NW",20006,1988,"71","Yes",38.95171483,-77.06724544,"1776 EYE SPE LLC","1776 I St"
"720","800 17TH ST NW",20006,2010,"71","No",38.9307076,-76.99460984,"T C 800 17TH STREET NW OWNER LLC","800 17TH ST/ Site #CPNC"
"721","1717 H STREET NW",20006,1955,"71","Yes",38.90118648,-77.04405733,"1717 H 1 LLC","1717 H St. NW"
"722","1706 I STREET NW",20006,1964,"71","Yes",38.91516166,-77.06415442,"JOHN W BRAWNER TRUSTEE","The Brawner Building"
"723","1712 I STREET NW",20006,1960,"71","No",38.91731298,-77.06868827,"1712 LIMITED PARTNERSHIP","1712 Eye Street NW: 1712 I Street Northwest"
"724","1729 H STREET NW",20006,1950,"54","No",38.91568179,-77.0459013,"PALMETTO HOSPITALITY OF WASHINGTON DC II LLC","HI-DC-White House"
